UNKNOWN(21011907)                'DeliveryClub (iikoDelivery)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21012008)                'TransaeroPaymentPlugin (iikoFront)'         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21012508)                'YarusPaymentPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21012901)                'RCallPlugin (iikoFront)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21013008)                'FoodCardConnector (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21013108)                'SintegroPaymentPlugin (iikoFront)'          {2=[9 (2020-07-15, 2020-12-03)]}
EGAIS_UTM_SUPPORT(21013307)      'ЕГАИС (iikoServer)'                         {2=[9 (2020-07-15, 2020-12-03)]}
IIKO_CONNECT(21013401)           'новая версия iiko (iikoServer)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015301)                'Restorun (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015401)                'eMenuApp (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015508)                'ACEPaymentPlugin (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015608)                'AeroflotBonusPlugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015708)                'GiftCardPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015808)                'iikoPaymentPlugin (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21015901)                'ShowMessageForOrderPlugin (iikoFront)'      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21016008)                'ObedRuPaymentPlugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21016118)                'OLOPlugin (iikoFront)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21016318)                'iikoFrontPaymentPlugin (Внутренний платежный интерфейс фронта)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21016818)                'LoyaltyFactoryPlugin (iikoFront)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21016908)                'PremiumBonusPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017107)                'iikoTeam (Mobile)'                          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017418)                'NewLuckyTicket (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017508)                'Resto.Front.Api.GlobalPayPlugin (Front)'    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017608)                'FirstDataPaymentPlugin (iikoFront)'         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017808)                'TcoilPaymentPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21017907)                'iVideonConnector (Server)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21018008)                'CreditEuropeBankPayment (iikoFront)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21018108)                'GettablePaymentPlugin (iikoFront)'          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21018208)                'SberbankPaymentPlugin (iikoFront )'         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21018308)                'СapabilityСityPayment (iikoFront)'          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21018718)                'WebMoneyPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019018)                'IntellectStyle.Plugin.Kiosk ( iikoFront)'   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019101)                'Connector for Menuforme (iikoFront)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019218)                'SWIP (iikoFront)'                           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019307)                'api Delivery (iiko.biz)'                    {2=[10 (2020-10-15, 2020-11-06)]}
UNKNOWN(21019407)                'ZakaZaka (iiko.biz)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019618)                'CardsPro Payment Plugin (iikoFront)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019701)                'iikoHelpPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019818)                'iDrinkPlugin (iikoFront)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21019907)                'Plazius лидогенератор (iiko.biz)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020018)                'H2OPlugin (iikoFront)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020118)                'FitnessReebok (iikoFront)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020301)                'FreetablePlugin (iikoFront)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020418)                'LoyaPlugin (iikoFront)'                     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020718)                'VDCardsPlugin (iikoFront)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020818)                'CompassPlugin (iikoFont)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21020901)                'Connector for HiPeople (iikoFront)'         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021008)                'ProtelPlugin (iikoFront)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021201)                'ControlCoffeePlugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021301)                'QrCoffeePlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021408)                'MioBonusPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021618)                'Город (iikoFront)'                          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021708)                'VisaDiscountPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21021901)                'iikoPriorityPlugin (iikoFront)'             {2=[9 (2020-07-15, 2020-12-03)]}
IIKO_CARD_MOBILE(21022007)       'iikoCard Mobile (iiko.biz)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022107)                'iikoCard Mobile Delivery+Takeaway (iiko.biz)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022207)                'Интеграция с AmoCRM (iiko.biz)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022307)                'HDeliveryPlugin (iikoFront)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022408)                ' Connector for K-Lines (iikoFront)'         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022507)                'Лицензия на программное обеспечение «K-Lines» (Внешнее приложение)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022608)                'ServiceChargePlugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022708)                'UnloadingEvotor (iikoFront)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022808)                'ExchangeEvotor (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21022907)                'iikoCard лидогенератор (iiko.biz)'          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023018)                'PremiumBonusPaymentPlugin2 (iikoFront)'     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023101)                'SampleFR (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023201)                'SampleScale (iikoFront)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023507)                'iikoExpert лидогенератор (iiko.biz)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023601)                'DeliveryMobileApp (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023808)                'WorldPayPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023818)                'WorldPayPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21023901)                'iikoTransportPlugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024008)                'GlobbalPay EU (iikoFront)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024108)                'PayTomat (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024208)                'PrivatBankPlugin (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024301)                'MassaScale (iikoFront)'                     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21024401)                'MStarCashRegister (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
